DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Quinton de Kock,c & b Dwayne Bravo,53,37,143.24,1,4
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Virat Kohli,c Ravindra Jadeja b Shardul Thakur,18,15,120.00,3,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,AB de Villiers,c Sam Billings b Imran Tahir,68,30,226.66,2,8
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Corey Anderson,c Harbhajan Singh b Imran Tahir,2,8,25.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Mandeep Singh,c Ravindra Jadeja b Shardul Thakur,32,17,188.23,1,3
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Colin de Grandhomme,run out (MS Dhoni),11,7,157.14,1,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Pawan Negi,run out (Ravindra Jadeja),0,1,0.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Washington Sundar,NOT OUT,13,4,325.00,1,1
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Umesh Yadav,c Sam Billings b Dwayne Bravo,0,1,0.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Mohammed Siraj,NOT OUT,0,0,0.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Shane Watson,c Mohammed Siraj b Pawan Negi,7,4,175.00,0,1
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Ambati Rayudu,run out (Umesh Yadav),82,53,154.71,3,8
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Suresh Raina,c Mandeep Singh b Umesh Yadav,11,9,122.22,2,0
