DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,W
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,W, ,Pawan Negi,3,36,1,12.00,7
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,W, ,Umesh Yadav,4,23,1,5.75,12
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,W, ,Washington Sundar,1,14,0,14.00,2
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,W, ,Mohammed Siraj,4,48,0,12.00,4
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,W, ,Yuzvendra Chahal,4,26,2,6.50,11
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,W, ,Corey Anderson,3.4,58,0,15.81,2
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,W
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,W, ,Jasprit Bumrah,4,25,1,6.25,9
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,W, ,Mitchell McClenaghan,3,22,2,7.33,11
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,W, ,Hardik Pandya,3,20,2,6.66,9
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,W, ,Mustafizur Rahman,3.4,18,1,4.90,12
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,W, ,Mayank Markande,3,15,2,5.00,10
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,W, ,Krunal Pandya,2,14,0,7.00,3
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,W
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,W, ,Sandeep Sharma,3,9,1,3.00,14
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,W, ,Mohammad Nabi,3,23,1,7.66,8
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,W, ,Shakib Al Hasan,3,16,1,5.33,8
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,W, ,Siddarth Kaul,4,23,3,5.75,13
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,W, ,Rashid Khan,4,11,2,2.75,16
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,W, ,Basil Thampi,1.5,4,2,2.18,7
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W, ,Trent Boult,3,21,2,7.00,9
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W, ,Avesh Khan,4,36,2,9.00,9
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W, ,Liam Plunkett,4,17,3,4.25,12
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W, ,Dan Christian,3,17,1,5.66,8
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W, ,Amit Mishra,4,33,0,8.25,7
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W, ,Glenn Maxwell,1,4,0,4.00,2
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,W, ,Rahul Tewatia,1,6,0,6.00,1
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,W
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,W, ,Ankit Rajpoot,4,23,2,5.75,15
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,W, ,Barinder Sran,4,45,1,11.25,5
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,W, ,Andrew Tye,4,25,2,6.25,11
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,W, ,Ravichandran Ashwin,4,19,0,4.75,8
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,W, ,Mujeeb Ur Rahman,4,25,2,6.25,12
MUMBAI INDIANS INNINGS (RUN RATE: 8.35),Match 21,W
MUMBAI INDIANS INNINGS (RUN RATE: 8.35),Match 21,W, ,Dhawal Kulkarni,4,32,2,8.00,12
MUMBAI INDIANS INNINGS (RUN RATE: 8.35),Match 21,W, ,Krishnappa Gowtham,3,20,0,6.66,5
MUMBAI INDIANS INNINGS (RUN RATE: 8.35),Match 21,W, ,Jofra Archer,4,22,3,5.50,13
MUMBAI INDIANS INNINGS (RUN RATE: 8.35),Match 21,W, ,Jaydev Unadkat,4,31,1,7.75,9
MUMBAI INDIANS INNINGS (RUN RATE: 8.35),Match 21,W, ,Shreyas Gopal,2,30,0,15.00,1
MUMBAI INDIANS INNINGS (RUN RATE: 8.35),Match 21,W, ,Ben Stokes,3,31,0,10.33,5
RAJASTHAN ROYALS INNINGS (RUN RATE: 8.54),Match 21,W
RAJASTHAN ROYALS INNINGS (RUN RATE: 8.54),Match 21,W, ,Mitchell McClenaghan,3,32,1,10.66,5
RAJASTHAN ROYALS INNINGS (RUN RATE: 8.54),Match 21,W, ,Jasprit Bumrah,4,28,2,7.00,10
RAJASTHAN ROYALS INNINGS (RUN RATE: 8.54),Match 21,W, ,Krunal Pandya,4,33,1,8.25,5
RAJASTHAN ROYALS INNINGS (RUN RATE: 8.54),Match 21,W, ,Mustafizur Rahman,4,35,1,8.75,6
RAJASTHAN ROYALS INNINGS (RUN RATE: 8.54),Match 21,W, ,Mayank Markande,2,15,0,7.50,3
RAJASTHAN ROYALS INNINGS (RUN RATE: 8.54),Match 21,W, ,Hardik Pandya,2.4,25,2,9.37,4
CHENNAI SUPER KINGS INNINGS (RUN RATE: 9.10),Match 20,W
CHENNAI SUPER KINGS INNINGS (RUN RATE: 9.10),Match 20,W, ,Bhuvneshwar Kumar,3,22,1,7.33,9
